Tweets,Hashtags,Retweets,word_count,Compound Score,Sentiment
RT @RSBNetwork: Watch Live: Arizona State Legislature Hearing on Election Fraud https://t.co/S5Eut0CWff,[],21401,12,-0.5859,Negative
".@OANN  WOW, total election corruption in Arizona. Hearing on now! Why isn’t @FoxNews covering the Arizona hearings?",[],55002,17,0.7027,Positive
Trump legal team in Arizona and on @OANN now. Big “stuff”. Enjoy!,[],35941,12,0.6114,Positive
Moderna now applying for Emergency Vaccine Approval.. @US_FDA MUST ACT QUICKLY!!!  “Operation Warp Speed has been a… https://t.co/aDcf75DGrS,[],25895,18,0.3348,Positive
"RT @9NEWSNANCY: “@RandPaul wants an explanation on WHY Trump's ""defeat"" happened in FOUR DATA DUMPS between 1:34 am &amp; 6:31 am.

We all know…",[],22128,24,-0.7531,Negative
"....Also, quickly check the number of envelopes versus the number of ballots. You may just find that there are many… https://t.co/inst9Gdfpv",[],27590,21,0.1531,Positive
"Why won’t Governor @BrianKempGA, the hapless Governor of Georgia, use his emergency powers, which can be easily don… https://t.co/EaGm1dlvrx",[],46930,19,-0.3818,Negative
"I’m not fighting for me, I’m fighting for the 74,000,000 million people (not including the many Trump ballots that… https://t.co/aIHR7O3ALK",[],84654,20,-0.1002,Negative
NO WAY WE LOST THIS ELECTION! https://t.co/orOXBaR8uE,[],61936,7,-0.7398,Negative
RT @DanScavino: 🤔,[],18663,3,0.0,Neutral
"Pennsylvania can lead the way, just like it did many years ago. Very important things happening! https://t.co/uzG29zpBAk",[],40393,17,0.5974,Positive
RT @NatalieJHarp: MAKE CALIFORNIA GREAT AGAIN! 🇺🇸🇺🇸🇺🇸,[],13294,7,0.729,Positive
"RT @LizRNC: “To all Americans, what we choose to do in this life should never be stopped by fear.” - @GenFlynn

🙏🇺🇸👊

https://t.co/cicoz7Tl…",[],13632,23,0.1695,Positive
RT @LizRNC: https://t.co/yadAhKrW3a,[],10670,3,0.0,Neutral
"“Democrats suffered crushing down-ballot loss across America.” @nytimes. This is true. All statehouses won, and in… https://t.co/As0vByrFxp",[],61003,17,-0.128,Negative
GREAT NEWS! Is Fake News @60Minutes watching this? https://t.co/v9T2MUmGss,[],25679,9,0.4633,Positive
Get well soon! https://t.co/B0seiO84ld,[],24454,4,0.3382,Positive
".@60Minutes never asked us for a comment about their ridiculous, one sided story on election security, which is an… https://t.co/tkohfyk2l4",[],43001,20,-0.0258,Neutral
We have some big things happening in our various litigations on the Election Hoax. Everybody knows it was Rigged. T… https://t.co/lEyMedThJQ,[],61295,21,-0.5574,Negative
https://t.co/eBx76i3wfD,[],32792,1,0.0,Neutral
https://t.co/qqm2zlwsXO,[],25468,1,0.0,Neutral
https://t.co/I5iE77OeXS,[],26238,1,0.0,Neutral
https://t.co/12jTDVX7ud,[],26209,1,0.0,Neutral
Will be doing an interview with @MariaBartiromo at 10:00 A.M. on @FoxNews. Enjoy!,[],24790,13,0.5411,Positive
https://t.co/3U58KQw3I6,[],44804,1,0.0,Neutral
"The number of ballots that our Campaign is challenging in the Pennsylvania case is FAR LARGER than the 81,000 vote… https://t.co/cw4NI5SM0e",[],69819,21,0.2263,Positive
"Specific allegations were made, and we have massive proof, in the Pennsylvania case. Some people just don’t want to… https://t.co/LErunZdiEW",[],61654,20,0.0772,Positive
"The Wisconsin recount is not about finding mistakes in the count, it is about finding people who have voted illegal… https://t.co/wgIgnNoySR",[],61313,21,0.2755,Positive
".@FoxNews daytime is virtually unwatchable, especially during the weekends. Watch @OANN, @newsmax, or almost anythi… https://t.co/sJcaBGWDdD",[],47978,16,0.0,Neutral
"RT @dougmastriano: It is, as always, truly worth defending.",[],17708,9,0.5859,Positive
Alan Dershowitz: Trump was ‘Absolutely Right‘ to Pardon Michael Flynn https://t.co/nMGOgOM9PP via @BreitbartNews,[],27174,13,0.3182,Positive
So much credit to all of the brave men and women in state houses who are defending our great Constitution. Thank you!,[],66986,22,0.9212,Positive
"The 1,126,940 votes were created out of thin air. I won Pennsylvania by a lot, perhaps more than anyone will ever k… https://t.co/uAn4z5JL6E",[],74578,23,0.6908,Positive
https://t.co/NPQ2vJzb8c,[],36369,1,0.0,Neutral
Rudy Giuliani will be on Greg Kelly Reports. 7:15 P.M. @newsmax,[],24256,11,0.0,Neutral
The restaurant business is being absolutely decimated. Congress should step up and help. Time is of the essence!,[],54271,18,0.4574,Positive
RT @SenMastriano: This was posted on our Department of State dashboard but had since been deleted. https://t.co/bDmvCK0kDB,[],71587,17,0.0,Neutral
